ResponseId,StartDate,EndDate,Duration (in seconds),Q1_Role,Q2_DecisionAuth,Q3_Industry,Q4_OrgSize,Q5_ProfitModel,Q8_GeoScope,Q74_Feedback,Q10-28_Barriers_1,Q10-28_Barriers_2,Q10-28_Barriers_3,Q10-28_Barriers_4,Q10-28_Barriers_5,Q10-28_Barriers_6,Q10-28_Barriers_7,Q10-28_Barriers_8,Q10-28_Barriers_9,Q10-28_Barriers_10,Q10-28_Barriers_11,Q10-28_Barriers_12,Q10-28_Barriers_13,Q10-28_Barriers_14,Q10-28_Barriers_15,Q10-28_Barriers_16,Q10-28_Barriers_17,Q10-28_Barriers_18,Q10-28_Barriers_19,Q47-64_Readiness_1,Q47-64_Readiness_2,Q47-64_Readiness_3,Q47-64_Readiness_4,Q47-64_Readiness_5,Q47-64_Readiness_6,Q47-64_Readiness_7,Q47-64_Readiness_8,Q47-64_Readiness_9,Q47-64_Readiness_10,Q47-64_Readiness_11,Q47-64_Readiness_12,Q47-64_Readiness_13,Q47-64_Readiness_14,Q47-64_Readiness_15,Q47-64_Readiness_16,Q47-64_Readiness_17,Q47-64_Readiness_18,Q65-73_Maturity_1,Q65-73_Maturity_2,Q65-73_Maturity_3,Q65-73_Maturity_4,Q65-73_Maturity_5,Q65-73_Maturity_6,Q65-73_Maturity_7,Q65-73_Maturity_8,Q65-73_Maturity_9
R_synth_0008,2026-04-02 06:00:00,2026-04-02 06:19:03,1143,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",Limited,Manufacturing,1000-4999,For-Profit,International,,Significant Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Major Barrier,Not a Barrier,Major Barrier,Major Barrier,Significant Barrier,Major Barrier,Major Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Major Barrier,Major Barrier,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable
R_synth_0009,2026-04-03 01:00:00,2026-04-03 01:17:16,1036,"CTO (e.g., Director of Technology/Innovation, Chief Scientist)",Final,Government,1000-4999,Government/Public Sector,National,,Moderate Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Major Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Not a Barrier,Major Barrier,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable
R_synth_0010,2026-04-03 11:00:00,2026-04-03 11:21:12,1272,"CTO (e.g., Director of Technology/Innovation, Chief Scientist)",Strong,Healthcare,10000+,Non-Profit,Local,Synthetic respondent feedback.,Major Barrier,Major Barrier,Major Barrier,Significant Barrier,Significant Barrier,Major Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Major Barrier,Not a Barrier,Major Barrier,Moderate Barrier,Not a Barrier,Significant Barrier,Minor Barrier,Major Barrier,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0011,2026-04-05 06:00:00,2026-04-05 06:25:23,1523,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",Limited,Healthcare,<100,For-Profit,International,Synthetic respondent feedback.,Major Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Major Barrier,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0012,2026-04-06 05:00:00,2026-04-06 05:22:53,1373,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",Limited,Technology,10000+,Government/Public Sector,International,Synthetic respondent feedback.,Minor Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Major Barrier,Major Barrier,Significant Barrier,Major Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Major Barrier,Not a Barrier,Significant Barrier,Major Barrier,Major Barrier,Significant Barrier,Major Barrier,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable
R_synth_0013,2026-04-06 20:00:00,2026-04-06 20:25:24,1524,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",Final,Finance,10000+,Government/Public Sector,Local,Synthetic respondent feedback.,Moderate Barrier,Major Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Major Barrier,Significant Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Moderate Barrier,Major Barrier,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable
R_synth_0014,2026-04-07 11:00:00,2026-04-07 11:19:54,1194,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",Limited,Healthcare,10000+,Government/Public Sector,International,,Significant Barrier,Moderate Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable
R_synth_0015,2026-04-08 14:00:00,2026-04-08 14:20:18,1218,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Final,Education,1000-4999,For-Profit,Local,,Significant Barrier,Moderate Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Not a Barrier,Moderate Barrier,Significant Barrier,Not a Barrier,Major Barrier,Minor Barrier,Major Barrier,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0016,2026-04-09 17:00:00,2026-04-09 17:26:40,1600,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Moderate,Finance,100-499,For-Profit,Local,,Not a Barrier,Not a Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 1: Initial/Ad Hoc,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable
R_synth_0017,2026-04-10 11:00:00,2026-04-10 11:09:36,576,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",Strong,Education,10000+,Government/Public Sector,Regional,,Moderate Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Moderate Barrier,Major Barrier,Significant Barrier,Major Barrier,Very High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 1: Initial/Ad Hoc,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0018,2026-04-12 02:00:00,2026-04-12 02:17:29,1049,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",Limited,Manufacturing,<100,Government/Public Sector,International,Synthetic respondent feedback.,Minor Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Major Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Moderate Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable
R_synth_0019,2026-04-12 22:00:00,2026-04-12 22:16:52,1012,"CIO (e.g., Director of IT)",Limited,Technology,1000-4999,Government/Public Sector,Local,Synthetic respondent feedback.,Major Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Major Barrier,Major Barrier,Significant Barrier,Major Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Moderate Barrier,Major Barrier,High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable
R_synth_fail_0000,2026-04-13 23:00:00,2026-04-13 23:05:09,309,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Moderate,Manufacturing,1000-4999,Non-Profit,Regional,,Significant Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Not a Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Significant Barrier,Not a Barrier,Not a Barrier,Significant Barrier,Not a Barrier,Not a Barrier,Major Barrier,Very High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable
R_synth_fail_0001,2026-04-15 04:00:00,2026-04-15 04:05:40,340,"CTO (e.g., Director of Technology/Innovation, Chief Scientist)",Moderate,Finance,1000-4999,For-Profit,National,,Significant Barrier,Major Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Not a Barrier,Moderate Barrier,Not a Barrier,Minor Barrier,Not a Barrier,Major Barrier,Significant Barrier,Minor Barrier,Major Barrier,Major Barrier,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 1: Initial/Ad Hoc,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable
R_synth_fail_0002,2026-04-16 00:00:00,2026-04-16 00:03:36,216,"CTO (e.g., Director of Technology/Innovation, Chief Scientist)",Limited,Government,100-499,Government/Public Sector,Regional,,Minor Barrier,Moderate Barrier,Significant Barrier,Not a Barrier,Major Barrier,Major Barrier,Not a Barrier,Major Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Major Barrier,Major Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Not a Barrier,Significant Barrier,Major Barrier,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_fail_0003,2026-04-17 03:00:00,2026-04-17 03:05:37,337,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Limited,Education,500-999,Non-Profit,International,,Moderate Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Major Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Minor Barrier,Major Barrier,Major Barrier,Minor Barrier,Significant Barrier,Not a Barrier,Major Barrier,Major Barrier,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable
R_synth_fail_0004,2026-04-17 10:00:00,2026-04-17 10:10:19,619,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Final,Technology,5000-9999,Government/Public Sector,National,,Not a Barrier,Not a Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Major Barrier,Not a Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Not a Barrier,Major Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,High Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_fail_0005,2026-04-18 15:00:00,2026-04-18 15:23:14,1394,"COO (e.g., Deputy Director, Chief of Staff, Assistant Secretary for Administration)",Moderate,Technology,500-999,For-Profit,National,,Minor Barrier,Significant Barrier,Not a Barrier,Significant Barrier,Not a Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Major Barrier,Minor Barrier,Not a Barrier,Major Barrier,Not a Barrier,Minor Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable
R_synth_fail_0006,2026-04-19 21:00:00,2026-04-19 21:18:08,1088,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Strong,Technology,5000-9999,Non-Profit,International,,Significant Barrier,Moderate Barrier,Minor Barrier,Not a Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Not a Barrier,Not a Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable
R_synth_fail_0007,2026-04-21 06:00:00,2026-04-21 06:11:32,692,"CIO (e.g., Director of IT)",Final,Government,500-999,For-Profit,National,,Moderate Barrier,Moderate Barrier,Not a Barrier,Significant Barrier,Not a Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Not a Barrier,Not a Barrier,Minor Barrier,Major Barrier,Not a Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Very High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable
R_synth_fail_0008,2026-03-01 20:00:00,2026-03-01 20:12:55,775,"CTO (e.g., Director of Technology/Innovation, Chief Scientist)",Limited,Education,100-499,Non-Profit,National,,Significant Barrier,Minor Barrier,Significant Barrier,Not a Barrier,Significant Barrier,Not a Barrier,Major Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Major Barrier,Moderate Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Major Barrier,Moderate Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable
R_synth_fail_0009,2026-03-01 21:00:00,2026-03-01 21:22:02,1322,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",Final,Finance,5000-9999,Non-Profit,International,,Major Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Minor Barrier,Moderate Barrier,Major Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Significant Barrier,Not a Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Moderate Barrier,Not a Barrier,Major Barrier,Very Low Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Very Low Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable
